Gene,Coefficient
CLEC4E,1.0586265569446462
KIAA0319,0.7368994751880023
PKIB,0.7253618750268669
ADAM20,-0.62033070536853
DNAJC12,0.5711286456336955
OVCH1,-0.5582413244177382
RGS2,0.5470110703432709
CCL14,-0.5347543974284618
NCS1,0.507719256082869
SYT13,0.4958642695155709
RGS1,0.4378588398018218
PLPP2,0.37375378782122215
GNLY,-0.2917560844461548
ADORA2A,-0.24206548472530573
