Metric,Value
Genes,84.0
Best CV AUC,0.85
Mean CV AUC,0.85
Std CV AUC,0.091
Train AUC,1.0
Train Accuracy,0.986
Train Sensitivity,1.0
Train Specificity,0.974
Test AUC,0.845
Test Accuracy,0.742
Test Sensitivity,0.714
Test Specificity,0.765
